2022-12-02 16:12:47.1167|ERROR|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Erorr| 
2022-12-02 16:12:47.1167|FATAL|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Fatal| 
2022-12-02 16:12:47.1167|DEBUG|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Debug| 
2022-12-02 16:13:28.1908|INFO|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Inicialization| 
2022-12-02 16:13:28.2115|TRACE|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Trace| 
2022-12-02 16:13:28.2115|WARN|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Warn| 
2022-12-02 16:13:28.2115|ERROR|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Erorr| 
2022-12-02 16:13:28.2115|FATAL|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Fatal| 
2022-12-02 16:13:28.2115|DEBUG|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Debug| 
2022-12-02 16:13:45.4844|INFO|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Inicialization| 
2022-12-02 16:13:45.5024|TRACE|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Trace| 
2022-12-02 16:13:45.5024|WARN|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Warn| 
2022-12-02 16:13:45.5024|ERROR|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Erorr| 
2022-12-02 16:13:45.5024|FATAL|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Fatal| 
2022-12-02 16:13:45.5024|DEBUG|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Debug| 
2022-12-02 16:17:54.2675|INFO|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Inicialization| 
2022-12-02 16:17:54.2978|TRACE|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Trace| 
2022-12-02 16:17:54.2978|WARN|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Warn| 
2022-12-02 16:17:54.2978|ERROR|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Erorr| 
2022-12-02 16:17:54.2978|FATAL|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Fatal| 
2022-12-02 16:17:54.2978|DEBUG|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Debug| 
2022-12-02 16:29:52.9739|INFO|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Inicialization| 
2022-12-02 16:29:52.9961|TRACE|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Trace| 
2022-12-02 16:29:52.9961|WARN|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Warn| 
2022-12-02 16:29:52.9961|ERROR|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Erorr| 
2022-12-02 16:29:52.9961|FATAL|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Fatal| 
2022-12-02 16:29:52.9961|DEBUG|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Debug| 
2022-12-02 16:30:38.7189|INFO|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Inicialization| 
2022-12-02 16:30:38.7510|TRACE|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Trace| 
2022-12-02 16:30:38.7510|WARN|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Warn| 
2022-12-02 16:30:38.7510|ERROR|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Erorr| 
2022-12-02 16:30:38.7510|FATAL|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Fatal| 
2022-12-02 16:30:38.7510|DEBUG|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Debug| 
2022-12-02 16:30:50.0304|INFO|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Inicialization| 
2022-12-02 16:30:50.0476|TRACE|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Trace| 
2022-12-02 16:30:50.0476|WARN|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Warn| 
2022-12-02 16:30:50.0476|ERROR|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Erorr| 
2022-12-02 16:30:50.0476|FATAL|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Fatal| 
2022-12-02 16:30:50.0476|DEBUG|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Debug| 
2022-12-02 16:37:20.6095|INFO|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Inicialization| 
2022-12-02 16:37:20.6412|TRACE|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Trace| 
2022-12-02 16:37:20.6412|WARN|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Warn| 
2022-12-02 16:37:20.6412|ERROR|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Erorr| 
2022-12-02 16:37:20.6412|FATAL|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Fatal| 
2022-12-02 16:37:20.6412|DEBUG|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Debug| 
2022-12-02 16:41:00.5782|INFO|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Inicialization| 
2022-12-02 16:41:00.5993|TRACE|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Trace| 
2022-12-02 16:41:00.5993|WARN|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Warn| 
2022-12-02 16:41:00.5993|ERROR|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Erorr| 
2022-12-02 16:41:00.5993|FATAL|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Fatal| 
2022-12-02 16:41:00.5993|DEBUG|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Debug| 
2022-12-02 16:41:27.5302|INFO|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Inicialization| 
2022-12-02 16:41:27.5491|TRACE|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Trace| 
2022-12-02 16:41:27.5491|WARN|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Warn| 
2022-12-02 16:41:27.5491|ERROR|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Erorr| 
2022-12-02 16:41:27.5491|FATAL|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Fatal| 
2022-12-02 16:41:27.5491|DEBUG|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Debug| 
2022-12-02 16:41:47.1604|INFO|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Inicialization| 
2022-12-02 16:41:47.1825|TRACE|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Trace| 
2022-12-02 16:41:47.1825|WARN|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Warn| 
2022-12-02 16:41:47.1825|ERROR|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Erorr| 
2022-12-02 16:41:47.1825|FATAL|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Fatal| 
2022-12-02 16:41:47.1825|DEBUG|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Debug| 
2022-12-02 16:42:17.0350|INFO|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Inicialization| 
2022-12-02 16:42:17.0616|TRACE|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Trace| 
2022-12-02 16:42:17.0621|WARN|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Warn| 
2022-12-02 16:42:17.0621|ERROR|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Erorr| 
2022-12-02 16:42:17.0621|FATAL|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Fatal| 
2022-12-02 16:42:17.0621|DEBUG|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Debug| 
2022-12-02 16:43:28.8116|INFO|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Inicialization| 
2022-12-02 16:43:28.8358|TRACE|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Trace| 
2022-12-02 16:43:28.8358|WARN|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Warn| 
2022-12-02 16:43:28.8358|ERROR|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Erorr| 
2022-12-02 16:43:28.8358|FATAL|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Fatal| 
2022-12-02 16:43:28.8358|DEBUG|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Debug| 
